uid,Gender,Age,Annual Income (k$),Spending Score (1-100),Customer Email
z96,male,24,60,52,test_otilia.botsford@hotmail.com
z97,female,47,60,47,test_lvonrueden@yahoo.com
z98,female,27,60,50,test_claude88@purdy.com
z99,male,48,61,42,test_cjerde@gmail.com
z100,male,20,61,49,test_kyra88@gmail.com
z101,female,23,62,41,test_abdullah05@pagac.info
z102,female,49,62,48,test_patience.tillman@mckenzie.com
z103,male,67,62,59,test_emelie18@zieme.com
z104,male,26,62,55,test_tkunze@boehm.com
z105,male,49,62,56,test_doyle.macie@yahoo.com
z106,female,21,62,42,test_whettinger@swift.com
z107,female,66,63,50,test_brayan25@crona.com
z108,male,54,63,46,test_arlie.ziemann@hotmail.com
z109,male,68,63,43,test_katharina99@yahoo.com
z110,male,66,63,48,test_doyle08@zemlak.com
z111,male,65,63,52,test_katarina.lang@hotmail.com
z112,female,19,63,54,test_jaylan.runolfsson@schaden.biz
z113,female,38,64,42,test_casper.amara@mann.com
z114,male,19,64,46,test_mitchell58@gmail.com
z115,female,18,65,48,test_jocelyn01@hotmail.com
z116,female,19,65,50,test_iva63@hotmail.com
z117,female,63,65,43,test_terrill41@spencer.info
z118,female,49,65,59,test_oreilly.michele@yahoo.com
z119,female,51,67,43,test_mireille.abernathy@conn.com
z120,female,50,67,57,test_hfunk@runolfsson.biz
z121,male,27,67,56,test_rwhite@barrows.com
z122,female,38,67,40,test_mariana.heathcote@gmail.com
z123,female,40,69,58,test_demario00@yahoo.com
z124,male,39,69,91,test_nokon@anderson.com
z125,female,23,70,29,test_runolfsdottir.raul@hoeger.com
z126,female,31,70,77,test_toy.greta@hotmail.com
z127,male,43,71,35,test_pbotsford@nader.com
z128,male,40,71,95,test_champlin.karolann@yahoo.com
z129,male,59,71,11,test_mfahey@dietrich.com
z130,male,38,71,75,test_jackeline.pouros@cummings.org
z131,male,47,71,9,test_bernhard.padberg@hotmail.com
z132,male,39,71,75,test_astrid32@kozey.net
z133,female,25,72,34,test_waylon62@yahoo.com
z134,female,31,72,71,test_batz.reggie@yahoo.com
z135,male,20,73,5,test_pbotsford@kuphal.net
z136,female,29,73,88,test_lgleason@haag.org
z137,female,44,73,7,test_considine.elouise@erdman.com
z138,male,32,73,73,test_apredovic@gmail.com
z139,male,19,74,10,test_hermiston.fritz@yahoo.com
z140,female,35,74,72,test_manuel.senger@runolfsdottir.info
z141,female,57,75,5,test_lynch.emmet@hammes.com
z142,male,32,75,93,test_franecki.sofia@veum.org
z143,female,28,76,40,test_pablo80@cremin.com
z144,female,32,76,87,test_beatty.carmelo@huels.com
z145,male,25,77,12,test_tgoodwin@sporer.info
z146,male,28,77,97,test_legros.koby@deckow.com
z147,male,48,77,36,test_rmorar@gmail.com
z148,female,32,77,74,test_ardella.funk@schiller.com
z149,female,34,78,22,test_harber.porter@lang.com
z150,male,34,78,90,test_jterry@hotmail.com
z151,male,43,78,17,test_hill.deron@gmail.com
z152,male,39,78,88,test_marquardt.rickey@yahoo.com
z153,female,44,78,20,test_marks.khalil@berge.com
z154,female,38,78,76,test_rice.marianne@schuppe.com
z155,female,47,78,16,test_paul58@gmail.com
z156,female,27,78,89,test_myrtle.stark@veum.info
z157,male,37,78,1,test_sasha.kozey@treutel.net
z158,female,30,78,78,test_jett.haag@yahoo.com
z159,male,34,78,1,test_isabel22@hotmail.com
z160,female,30,78,73,test_bhowe@gmail.com
z161,female,56,79,35,test_iwolff@hotmail.com
z162,female,29,79,83,test_peyton52@lesch.com
z163,male,19,81,5,test_johnson.chadd@hilpert.net
z164,female,31,81,93,test_vcrooks@dibbert.org
z165,male,50,85,26,test_lela25@gmail.com
z166,female,36,85,75,test_ipowlowski@huels.biz
z167,male,42,86,20,test_luz30@purdy.com
z168,female,33,86,95,test_ehamill@gmail.com
z169,female,36,87,27,test_gislason.genevieve@hotmail.com
z170,male,32,87,63,test_effertz.eloise@watsica.org
z171,male,40,87,13,test_ottilie12@olson.com
z172,male,28,87,75,test_marcelo.stark@hotmail.com
z173,male,36,87,10,test_rosemary.king@hotmail.com
z174,male,36,87,92,test_laurie34@quitzon.com
z175,female,52,88,13,test_holden06@hotmail.com
z176,female,30,88,86,test_lawson27@sauer.org
z177,male,58,88,15,test_schoen.jayce@gmail.com
z178,male,27,88,69,test_etrantow@hotmail.com
z179,male,59,93,14,test_francesco41@yahoo.com
z180,male,35,93,90,test_gjacobson@gmail.com
z181,female,37,97,32,test_maud65@rolfson.com
z182,female,32,97,86,test_wmcclure@wuckert.com
z183,male,46,98,15,test_lfay@gmail.com
z184,female,29,98,88,test_nmurphy@gmail.com
z185,female,41,99,39,test_chelsie.ritchie@quigley.net
z186,male,30,99,97,test_taurean09@gmail.com
z187,female,54,101,24,test_mariela.vandervort@yahoo.com
z188,male,28,101,68,test_horacio.powlowski@gmail.com
z189,female,41,103,17,test_williamson.florencio@kub.com
z190,female,36,103,85,test_einar09@considine.info
z191,female,34,103,23,test_tmcglynn@glover.com
z192,female,32,103,69,test_iyundt@gmail.com
z193,male,33,113,8,test_rusty88@gmail.com
z194,female,38,113,91,test_fritsch.cleve@hahn.org
z195,female,47,120,16,test_crystel.jerde@yahoo.com
z196,female,35,120,79,test_johns.nolan@crona.com
z197,female,45,126,28,test_ykunde@hermann.net
z198,male,32,126,74,test_asia06@parker.com
z199,male,32,137,18,test_rigoberto.kuvalis@gmail.com
z200,male,30,137,83,test_jwalker@pouros.com
z201,female,32,137,98,test_aa.kuvalis@gmail.com
z202,female,30,137,83,test_bb@pouros.com
z203,female,30,137,88,test_cc@pouros.com
z204,female,30,137,88,test_dd@pouros.com
z205,female,30,137,88,test_ee@pouros.com
z206,female,30,137,88,test_ff@pouros.com
z207,female,30,137,88,test_gg@pouros.com
